ET1,ET2,ET3
6.777546488,6.777546488,6.777546488
5.369730277,5.369730277,5.369730277
5.717702507,5.717702507,5.717702507
5.305489825,5.305489825,5.305489825
5.198724449,5.198724449,5.198724449
4.428435229,4.428435229,4.428435229
4.499794281,4.499794281,4.499794281
4.568376866,4.568376866,4.568376866
4.543326756,4.543326756,4.543326756
2.952406947,2.952406947,2.952406947
4.085914341,4.085914341,4.085914341
4.456398731,4.456398731,4.456398731
4.462113877,4.462113877,4.462113877
4.96796781,4.96796781,4.96796781
5.089618405,5.089618405,5.089618405
4.332580062,4.332580062,4.332580062
4.751023273,4.751023273,4.751023273
5.598154979,5.598154979,5.598154979
4.560472272,4.560472272,4.560472272
5.149268807,5.149268807,5.149268807
